epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,119.525,0.44713,0.33021,0.95454,0.997,1,0.995,0.94057,0.32783,0.24065,0.90198,0.000812,0.000812,0.000812
62,121.318,0.42455,0.30474,0.94889,0.99634,1,0.995,0.93313,0.32433,0.23136,0.89301,0.0007922,0.0007922,0.0007922
63,123.1,0.44747,0.31036,0.96308,0.99418,1,0.995,0.93436,0.30315,0.21905,0.88303,0.0007724,0.0007724,0.0007724
64,124.936,0.44121,0.30038,0.95828,0.99019,1,0.995,0.93854,0.29475,0.2413,0.89475,0.0007526,0.0007526,0.0007526
65,126.773,0.42768,0.30772,0.95419,0.99131,1,0.995,0.9467,0.28822,0.23156,0.89554,0.0007328,0.0007328,0.0007328
66,128.686,0.45369,0.3085,0.96415,0.99561,1,0.995,0.95216,0.27537,0.22896,0.89103,0.000713,0.000713,0.000713
67,130.59,0.42535,0.29121,0.94773,0.99699,1,0.995,0.94492,0.29933,0.22889,0.90479,0.0006932,0.0006932,0.0006932
68,132.483,0.42229,0.28265,0.94527,0.99748,1,0.995,0.94421,0.30983,0.21117,0.89854,0.0006734,0.0006734,0.0006734
69,134.405,0.43147,0.30021,0.96691,0.99792,1,0.995,0.95483,0.3063,0.21775,0.89808,0.0006536,0.0006536,0.0006536
70,136.392,0.42526,0.30866,0.95381,0.99818,1,0.995,0.95552,0.32076,0.21517,0.90409,0.0006338,0.0006338,0.0006338
71,138.238,0.45847,0.29985,0.95705,0.9984,1,0.995,0.92355,0.34248,0.22036,0.90583,0.000614,0.000614,0.000614
72,140.027,0.38745,0.27474,0.92989,0.9984,1,0.995,0.95324,0.29683,0.21346,0.88792,0.0005942,0.0005942,0.0005942
73,141.886,0.42139,0.28269,0.94694,0.99816,1,0.995,0.95112,0.31853,0.21854,0.89608,0.0005744,0.0005744,0.0005744
74,143.707,0.40676,0.28104,0.93809,0.99794,1,0.995,0.94877,0.32582,0.222,0.89622,0.0005546,0.0005546,0.0005546
75,145.577,0.40824,0.28745,0.93795,0.99663,1,0.995,0.95834,0.30694,0.20907,0.88807,0.0005348,0.0005348,0.0005348
76,147.487,0.40868,0.2918,0.94309,0.99757,1,0.995,0.94421,0.29628,0.21248,0.88476,0.000515,0.000515,0.000515
77,149.268,0.40966,0.28069,0.94249,0.99814,1,0.995,0.9493,0.29974,0.20396,0.88437,0.0004952,0.0004952,0.0004952
78,151.15,0.39227,0.2626,0.94657,0.99828,1,0.995,0.94131,0.30612,0.19287,0.88476,0.0004754,0.0004754,0.0004754
79,153,0.39112,0.26163,0.94047,0.99805,1,0.995,0.95028,0.27364,0.18526,0.8769,0.0004556,0.0004556,0.0004556
80,154.896,0.40334,0.26718,0.92567,0.99763,1,0.995,0.96048,0.28366,0.19498,0.87899,0.0004358,0.0004358,0.0004358
81,156.788,0.38124,0.25569,0.9288,0.99774,1,0.995,0.95867,0.2798,0.19986,0.88178,0.000416,0.000416,0.000416
82,158.694,0.39551,0.26755,0.94524,0.99759,1,0.995,0.95685,0.27687,0.18783,0.87761,0.0003962,0.0003962,0.0003962
83,160.562,0.40648,0.2743,0.93987,0.9972,1,0.995,0.95536,0.27441,0.19505,0.87297,0.0003764,0.0003764,0.0003764
84,162.456,0.39978,0.26973,0.94561,0.99649,1,0.995,0.95717,0.2745,0.17825,0.87269,0.0003566,0.0003566,0.0003566
85,164.315,0.39053,0.25019,0.92547,0.99512,1,0.995,0.94804,0.2905,0.1897,0.87745,0.0003368,0.0003368,0.0003368
86,166.218,0.37774,0.25891,0.9211,0.99409,1,0.995,0.95445,0.30208,0.18832,0.87934,0.000317,0.000317,0.000317
87,168.024,0.38262,0.25014,0.92778,0.99365,1,0.995,0.94477,0.29516,0.18452,0.88075,0.0002972,0.0002972,0.0002972
88,169.9,0.37106,0.24871,0.91915,0.99284,1,0.995,0.96418,0.28036,0.18409,0.87834,0.0002774,0.0002774,0.0002774
89,171.776,0.37364,0.25088,0.92394,0.99232,1,0.995,0.96912,0.2789,0.19047,0.87809,0.0002576,0.0002576,0.0002576
90,173.697,0.37858,0.25104,0.92398,0.99246,1,0.995,0.97,0.27464,0.19006,0.8767,0.0002378,0.0002378,0.0002378
91,176.822,0.31568,0.21789,0.88602,0.98913,1,0.995,0.96286,0.27423,0.19924,0.87634,0.000218,0.000218,0.000218
92,178.827,0.3054,0.20395,0.87075,0.99118,1,0.995,0.94375,0.28405,0.19989,0.88156,0.0001982,0.0001982,0.0001982
93,180.665,0.29781,0.20391,0.87822,0.98996,1,0.995,0.96526,0.2671,0.20077,0.87515,0.0001784,0.0001784,0.0001784
94,182.479,0.28809,0.19697,0.86623,0.98863,1,0.995,0.95714,0.2788,0.19304,0.8811,0.0001586,0.0001586,0.0001586
95,184.31,0.30488,0.20481,0.88642,0.99134,1,0.995,0.96039,0.27958,0.19598,0.8778,0.0001388,0.0001388,0.0001388
96,186.143,0.28752,0.19547,0.85364,0.99386,1,0.995,0.96215,0.27373,0.17631,0.87662,0.000119,0.000119,0.000119
97,188.023,0.2888,0.1967,0.87258,0.99399,1,0.995,0.96075,0.26776,0.17786,0.87738,9.92e-05,9.92e-05,9.92e-05
98,190.112,0.29144,0.19926,0.86126,0.99519,1,0.995,0.95919,0.25724,0.17027,0.87421,7.94e-05,7.94e-05,7.94e-05
99,191.958,0.27726,0.18748,0.8587,0.99625,1,0.995,0.96427,0.25775,0.16657,0.87313,5.96e-05,5.96e-05,5.96e-05
100,193.771,0.29175,0.19283,0.88518,0.99734,1,0.995,0.96063,0.25876,0.16355,0.87149,3.98e-05,3.98e-05,3.98e-05
