epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,131.185,0.39653,0.27308,0.87113,0.99821,1,0.995,0.93524,0.35329,0.20385,0.80979,0.000445625,0.000445625,0.000445625
67,133.096,0.37891,0.27152,0.85468,0.9979,1,0.995,0.93129,0.35799,0.20249,0.81124,0.00043325,0.00043325,0.00043325
68,134.943,0.38194,0.27187,0.86109,0.99852,1,0.995,0.93696,0.35475,0.20144,0.80863,0.000420875,0.000420875,0.000420875
69,136.762,0.3921,0.27049,0.86305,0.99779,1,0.995,0.93534,0.35242,0.20177,0.80738,0.0004085,0.0004085,0.0004085
70,138.631,0.39927,0.28081,0.86194,0.99734,1,0.995,0.93935,0.37135,0.20686,0.81545,0.000396125,0.000396125,0.000396125
71,140.576,0.38559,0.26918,0.85101,0.99842,1,0.995,0.93896,0.3468,0.19353,0.80682,0.00038375,0.00038375,0.00038375
72,142.506,0.37869,0.25484,0.85208,0.99834,1,0.995,0.94327,0.34212,0.19345,0.80292,0.000371375,0.000371375,0.000371375
73,144.388,0.38296,0.26112,0.85657,0.99819,1,0.995,0.93947,0.34774,0.19739,0.80572,0.000359,0.000359,0.000359
74,146.292,0.37845,0.2622,0.855,0.99801,1,0.995,0.93948,0.33644,0.1905,0.8004,0.000346625,0.000346625,0.000346625
75,148.183,0.37982,0.25962,0.85021,0.99833,1,0.995,0.93734,0.33983,0.17603,0.80222,0.00033425,0.00033425,0.00033425
76,150.035,0.37024,0.253,0.85653,0.99834,1,0.995,0.9408,0.32989,0.18354,0.80017,0.000321875,0.000321875,0.000321875
77,151.946,0.35846,0.25356,0.84902,0.99795,1,0.995,0.94822,0.32687,0.19319,0.7985,0.0003095,0.0003095,0.0003095
78,153.886,0.38558,0.2666,0.87492,0.99786,1,0.995,0.94153,0.32934,0.18563,0.79811,0.000297125,0.000297125,0.000297125
79,155.792,0.36671,0.24876,0.85659,0.99819,1,0.995,0.94263,0.32914,0.17809,0.79807,0.00028475,0.00028475,0.00028475
80,157.707,0.3613,0.24423,0.84635,0.99804,1,0.995,0.93914,0.32998,0.17666,0.80098,0.000272375,0.000272375,0.000272375
81,159.567,0.3658,0.25116,0.8531,0.99774,1,0.995,0.94133,0.33625,0.18099,0.80407,0.00026,0.00026,0.00026
82,161.428,0.35891,0.2422,0.85436,0.99754,1,0.995,0.94095,0.3441,0.18509,0.80769,0.000247625,0.000247625,0.000247625
83,163.318,0.35667,0.24033,0.85558,0.99795,1,0.995,0.94378,0.33515,0.1771,0.80621,0.00023525,0.00023525,0.00023525
84,165.208,0.36581,0.24225,0.86235,0.99836,1,0.995,0.9479,0.33329,0.17341,0.80528,0.000222875,0.000222875,0.000222875
85,167.077,0.35191,0.2369,0.84457,0.99808,1,0.995,0.94107,0.33393,0.17963,0.80423,0.0002105,0.0002105,0.0002105
86,168.993,0.37361,0.24815,0.85538,0.99819,1,0.995,0.94133,0.34325,0.18057,0.80647,0.000198125,0.000198125,0.000198125
87,170.862,0.34672,0.23576,0.84852,0.99812,1,0.995,0.94033,0.34838,0.17879,0.8071,0.00018575,0.00018575,0.00018575
88,172.731,0.35891,0.24492,0.85175,0.99827,1,0.995,0.94183,0.33533,0.17098,0.80416,0.000173375,0.000173375,0.000173375
89,174.578,0.36072,0.24013,0.85292,0.99828,1,0.995,0.94226,0.33194,0.1733,0.80296,0.000161,0.000161,0.000161
90,176.475,0.34802,0.23684,0.84691,0.99767,1,0.995,0.94235,0.33177,0.17455,0.80298,0.000148625,0.000148625,0.000148625
91,179.668,0.3157,0.20988,0.81464,0.99786,1,0.995,0.94208,0.33464,0.17229,0.80414,0.00013625,0.00013625,0.00013625
92,181.618,0.31382,0.2043,0.81857,0.99853,1,0.995,0.94115,0.33644,0.18197,0.80287,0.000123875,0.000123875,0.000123875
93,183.481,0.31011,0.20912,0.81608,0.99835,1,0.995,0.94089,0.33157,0.17113,0.80112,0.0001115,0.0001115,0.0001115
94,185.372,0.30705,0.20006,0.82221,0.99807,1,0.995,0.94536,0.33161,0.1777,0.80004,9.9125e-05,9.9125e-05,9.9125e-05
95,187.265,0.31127,0.20442,0.81263,0.99793,1,0.995,0.94105,0.3232,0.1735,0.79816,8.675e-05,8.675e-05,8.675e-05
96,189.144,0.30578,0.19804,0.8114,0.99823,1,0.995,0.94115,0.32525,0.16849,0.80025,7.4375e-05,7.4375e-05,7.4375e-05
97,191.028,0.30885,0.20028,0.81208,0.99827,1,0.995,0.9421,0.3254,0.17076,0.80041,6.2e-05,6.2e-05,6.2e-05
98,192.955,0.30414,0.19959,0.81682,0.99822,1,0.995,0.94291,0.32268,0.16423,0.79999,4.9625e-05,4.9625e-05,4.9625e-05
99,194.838,0.30401,0.19609,0.81014,0.99812,1,0.995,0.94312,0.32112,0.16421,0.79951,3.725e-05,3.725e-05,3.725e-05
100,196.75,0.30249,0.19353,0.80674,0.9981,1,0.995,0.94478,0.31879,0.16288,0.79907,2.4875e-05,2.4875e-05,2.4875e-05
